Target ID,Target fill gas,Gap (mm),OD (mm),No. of HFIR cycles,RB location,Subcapsule (S),TAVA fuel temperature (K),TAVA last cycle TM temperature (K),Discharge expected burnup (%FIMA),T(design)-T(target) (K),BU(design)-BU(target) (%FIMA)
RRN01,"85% He, Ar bal.",0.45,9.16,12,42,6,1190,969,7.058,-17,0.442
RRN01,"85% He, Ar bal.",0.4,9.27,12,42,5,1190,955,7.47,-17,0.03
RRN01,"85% He, Ar bal.",0.35,9.36,12,42,4,1181,936,7.657,-8,-0.157
RRN01,"85% He, Ar bal.",0.34,9.38,12,42,3,1183,931,7.839,-10,-0.339
RRN01,"85% He, Ar bal.",0.31,9.44,12,42,2,1163,910,7.73,10,-0.23
RRN01,"85% He, Ar bal.",0.36,9.35,12,42,1,1182,931,7.576,-9,-0.076
RRN02,"85% He, Ar bal.",0.07,9.92,11,12,6,877,661,7.338,-4,0.162
RRN02,"85% He, Ar bal.",0.05,9.96,11,12,5,881,636,7.726,-8,-0.226
RRN02,"85% He, Ar bal.",0.2,9.66,11,12,4,1183,890,7.908,-10,-0.408
RRN02,"85% He, Ar bal.",0.44,9.18,11,12,3,1479,1151,8.081,-6,-0.581
RRN02,"85% He, Ar bal.",0.47,9.13,11,12,2,1487,1173,8.02,-14,-0.52
RRN02,"85% He, Ar bal.",0.19,9.68,11,12,1,1181,914,7.716,-8,-0.216
RRN03,"85% He, Ar bal.",0.36,9.34,6,32,6,1184,957,3.498,-11,0.252
RRN03,"85% He, Ar bal.",0.33,9.4,6,32,5,1187,951,3.681,-14,0.069
RRN03,"85% He, Ar bal.",0.32,9.43,6,32,4,1181,948,3.741,-8,0.009
RRN03,"85% He, Ar bal.",0.26,9.54,6,32,3,1172,912,3.852,1,-0.102
RRN03,"85% He, Ar bal.",0.29,9.49,6,32,2,1187,928,3.842,-14,-0.092
RRN03,"85% He, Ar bal.",0.29,9.49,6,32,1,1181,923,3.74,-8,0.01
RRN04,"85% He, Ar bal.",0.07,9.92,9,22,6,875,661,5.936,-2,0.064
RRN04,"85% He, Ar bal.",0.05,9.96,9,22,5,881,635,6.229,-8,-0.229
RRN04,"85% He, Ar bal.",0.2,9.67,9,22,4,1172,883,6.399,1,-0.399
RRN04,"85% He, Ar bal.",0.44,9.18,9,22,3,1483,1150,6.517,-10,-0.517
RRN04,"85% He, Ar bal.",0.48,9.11,9,22,2,1490,1179,6.451,-17,-0.451
RRN04,"85% He, Ar bal.",0.19,9.69,9,22,1,1175,907,6.237,-2,-0.237
RRN05,"85% He, Ar bal.",0.37,9.32,9,52,6,1191,964,5.485,-18,0.515
RRN05,"85% He, Ar bal.",0.33,9.41,9,52,5,1183,947,5.751,-10,0.249
RRN05,"85% He, Ar bal.",0.31,9.44,9,52,4,1183,945,5.985,-10,0.015
RRN05,"85% He, Ar bal.",0.27,9.52,9,52,3,1179,919,5.99,-6,0.01
RRN05,"85% He, Ar bal.",0.28,9.51,9,52,2,1182,919,5.983,-9,0.017
RRN05,"85% He, Ar bal.",0.28,9.5,9,52,1,1175,915,5.863,-2,0.137
RRN06,"85% He, Ar bal.",0.07,9.92,6,12,6,877,662,3.757,-4,-0.007
RRN06,"85% He, Ar bal.",0.05,9.96,6,12,5,881,637,4.027,-8,-0.277
RRN06,"85% He, Ar bal.",0.2,9.66,6,12,4,1183,893,4.096,-10,-0.346
RRN06,"85% He, Ar bal.",0.44,9.18,6,12,3,1479,1155,4.217,-6,-0.467
RRN06,"85% He, Ar bal.",0.47,9.13,6,12,2,1487,1178,4.163,-14,-0.413
RRN06,"85% He, Ar bal.",0.19,9.68,6,12,1,1181,915,3.958,-8,-0.208
